fecha,region,producto,unidades,precio_unitario,cliente_id
2026-01-27,Norte,Cable Kit,2,12.5,C029
2026-04-04,Este,Gateway,16,120.0,C038
2026-02-11,Sur,Cable Kit,2,12.5,C007
2026-02-01,Sur,Sensor B,,32.0,C004
2026-01-14,Norte,Sensor A,3,19.59,C004
2026-03-13,Sur,Cable Kit,16,12.5,C024
2026-02-13,Norte,Sensor A,24,19.5,C009
2026-02-15,Norte,Sensor B,6,32.0,C035
2026-02-03,Norte,Cable Kit,2,12.48,C027
2026-02-03,Sur,Sensor A,22,19.5,C032
2026-02-20,Sur,Sensor B,15,31.79,C033
2026-01-12,Este,Sensor B,9,32.0,C001
2026-02-11,Norte,Sensor A,,19.5,C018
2026-02-08,Norte,Gateway,13,120.0,C004
2026-01-14,Este,Gateway,18,120.0,C004
2026-02-17,Oeste,Hub IoT,5,,C025
2026-02-28,Norte,Hub IoT,17,85.0,C020
2026-01-06,Este,Cable Kit,22,12.5,C020
2026-02-10,Oeste,Sensor B,19,32.0,C039
2026-01-29,Norte,Sensor A,1,19.0,C013
2026-02-12,Oeste,Sensor A,5,19.5,C027
2026-01-20,Este,Cable Kit,5,12.5,C040
2026-01-10,Norte,Cable Kit,4,12.5,C030
2026-02-14,Este,Cable Kit,17,12.5,C004
2026-01-24,Este,Hub IoT,24,85.0,C005
2026-02-06,Este,Hub IoT,19,85.0,C017
2026-03-26,Este,Sensor A,3,19.5,C037
2026-02-04,Sur,Gateway,21,120.0,C019
2026-02-02,Sur,Cable Kit,24,13.08,C011
2026-03-24,Este,Sensor A,24,19.5,C013
2026-03-07,Oeste,Cable Kit,23,12.5,C032
2026-01-08,Sur,Gateway,22,120.0,C013
2026-01-27,Oeste,Gateway,8,120.0,C026
2026-02-15,Este,Gateway,na,120.0,C022
2026-01-09,Este,Sensor B,19,33.5,C035
2026-01-05,Este,Sensor B,3,30.73,C010
2026-02-20,Sur,Cable Kit,15,12.48,C029
2026-02-07,Este,Hub IoT,-2,85.0,C012
2026-03-27,Este,Sensor A,15,19.5,C002
2026-02-17,Sur,Sensor A,12,19.5,C018
2026-03-02,Norte,Cable Kit,12,12.5,C022
2026-03-29,Oeste,Gateway,10,120.0,C022
2026-01-21,Sur,Gateway,20,120.0,C022
2026-02-16,Oeste,Cable Kit,23,12.5,C027
2026-02-24,Este,Hub IoT,4,85.0,C037
2026-02-17,Oeste,Sensor B,12,32.0,C021
2026-01-05,Norte,Sensor B,22,32.0,C009
2026-03-25,Este,Gateway,13,120.0,C004
2026-01-31,Este,Hub IoT,4,85.0,C034
2026-01-16,Norte,Gateway,4,120.0,C027
2026-02-13,Oeste,Cable Kit,16,12.5,C016
2026-03-12,Norte,Sensor B,12,32.0,C023
2026-01-07,Norte,Sensor A,7,19.5,C034
2026-01-19,Sur,Cable Kit,14,12.5,C009
2026-02-19,Norte,Gateway,5,120.0,C038
2026-02-25,Oeste,Hub IoT,15,85.0,C033
2026-01-30,Sur,Gateway,11,120.0,C032
2026-03-01,Este,Sensor B,20,32.0,C032
2026-02-19,Norte,Cable Kit,0,-1.0,C030
2026-04-02,Oeste,Hub IoT,23,84.3,C015
2026-03-08,Norte,Sensor B,5,32.0,C025
2026-02-07,Oeste,Gateway,21,120.0,C004
2026-02-14,Norte,Hub IoT,22,85.0,C023
2026-03-19,Sur,Sensor B,20,32.0,C005
2026-01-10,Norte,Cable Kit,4,12.5,C027
2026-03-04,Sur,Gateway,12,120.0,C033
2026-02-12,Norte,Gateway,4,120.0,C001
2026-03-05,Este,Sensor A,24,19.5,C027
2026-03-22,Sur,Sensor B,17,32.0,C035
2026-01-31,Norte,Sensor B,1,32.0,C007
2026-02-18,Sur,Sensor B,23,32.84,C037
2026-02-02,Norte,Hub IoT,24,85.0,C034
2026-04-01,Oeste,Sensor A,3,19.5,C016
2026-02-10,Sur,Sensor B,15,32.0,C031
2026-02-23,Sur,Sensor A,9,19.5,C037
2026-03-15,Este,Gateway,10,120.0,C027
2026-01-26,Sur,Sensor A,13,19.5,C035
2026-01-28,Norte,Cable Kit,11,12.5,C010
2026-03-28,Este,Cable Kit,21,12.5,C030
2026-01-16,Oeste,Sensor B,25,33.53,C038
2026-02-01,Este,Cable Kit,25,12.5,C022
2026-03-30,Este,Gateway,9,120.0,C018
2026-01-29,Este,Sensor B,10,32.0,C002
2026-02-03,Sur,Sensor A,3,-5.0,C007
2026-03-20,Sur,Sensor A,20,19.5,C013
2026-03-11,Sur,Gateway,6,120.0,C010
2026-01-25,Norte,Hub IoT,9,85.0,C004
2026-01-15,Este,Gateway,16,120.0,C009
2026-01-22,Oeste,Hub IoT,2,85.0,C011
2026-01-07,Sur,Sensor B,24,32.0,C002
2026-03-10,Norte,Cable Kit,13,12.5,C029
2026-04-03,Sur,Cable Kit,17,12.5,C032
2026-02-11,Sur,Sensor A,20,19.5,C030
2026-03-21,Oeste,Hub IoT,11,85.0,C017
2026-02-15,Sur,Sensor A,16,19.5,C027
2026-01-13,Oeste,Hub IoT,19,85.0,C040
2026-02-09,Oeste,Sensor B,9,32.0,C009
2026-01-08,Oeste,Sensor B,5,32.31,C024
2026-02-13,Sur,Sensor B,8,-32.0,C020
